INSERT INTO ROUTE VALUES('1', '가산', '서울역', '5시 30분', '23시 15분', 15, 'map1.jpg', 1000, 1200, 800, 900, 500, 600);
INSERT INTO ROUTE VALUES('2', '구로', '강남', '6시 10분', '22시 30분', 10, 'map2.jpg', 1000, 1200, 800, 900, 500, 600);
INSERT INTO ROUTE VALUES('3', '수원', '사당', '7시 00분', '23시 10분', 20, 'map3.jpg', 2000, 2200, 1500, 1600, 1000, 1200);


INSERT INTO EMPLOYER VALUES('0001', '총무맨', '871214-1111111', '총무부', '사원', NULL, NULL, '작성', 1, 15, NULL, NULL, NULL, NULL,
NULL, NULL, NULL, NULL, NULL, NULL);

INSERT INTO EMPLOYER VALUES('0002', '인사맨', '921214-1111111', '인사부', '사원', NULL, NULL, '작성', 1, 15, NULL, NULL, NULL, NULL,
NULL, NULL, NULL, NULL, NULL, NULL);


INSERT INTO COMMUTE VALUES(1, 2020, 7, 1, '평일', '0001', '총무맨', '총무부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(2, 2020, 7, 2, '평일', '0001', '총무맨', '총무부', '사원', '결근', 0);
INSERT INTO COMMUTE VALUES(3, 2020, 7, 3, '평일', '0001', '총무맨', '총무부', '사원', '병가', 0);
INSERT INTO COMMUTE VALUES(4, 2020, 7, 4, '주말', '0001', '총무맨', '총무부', '사원', '휴가', 0);
INSERT INTO COMMUTE VALUES(5, 2020, 7, 5, '주말', '0001', '총무맨', '총무부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(6, 2020, 7, 6, '평일', '0001', '총무맨', '총무부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(7, 2020, 7, 7, '평일', '0001', '총무맨', '총무부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(8, 2020, 7, 8, '평일', '0001', '총무맨', '총무부', '사원', '결근', 0);
INSERT INTO COMMUTE VALUES(9, 2020, 7, 9, '평일', '0001', '총무맨', '총무부', '사원', '병가', 0);
INSERT INTO COMMUTE VALUES(10, 2020, 7, 10, '평일', '0001', '총무맨', '총무부', '사원', '휴가', 0);
INSERT INTO COMMUTE VALUES(11, 2020, 7, 11, '주말', '0001', '총무맨', '총무부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(12, 2020, 7, 12, '주말', '0001', '총무맨', '총무부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(13, 2020, 7, 13, '평일', '0001', '총무맨', '총무부', '사원', '병가', 0);
INSERT INTO COMMUTE VALUES(14, 2020, 7, 14, '평일', '0001', '총무맨', '총무부', '사원', '결근', 0);
INSERT INTO COMMUTE VALUES(15, 2020, 7, 15, '평일', '0001', '총무맨', '총무부', '사원', '휴가', 0);

INSERT INTO COMMUTE VALUES(16, 2020, 7, 1, '평일', '0002', '인사맨', '인사부', '사원', '결근', 0);
INSERT INTO COMMUTE VALUES(17, 2020, 7, 2, '평일', '0002', '인사맨', '인사부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(18, 2020, 7, 3, '평일', '0002', '인사맨', '인사부', '사원', '출근', 18);
INSERT INTO COMMUTE VALUES(19, 2020, 7, 4, '주말', '0002', '인사맨', '인사부', '사원', '병가', 0);
INSERT INTO COMMUTE VALUES(20, 2020, 7, 5, '주말', '0002', '인사맨', '인사부', '사원', '결근', 0);
INSERT INTO COMMUTE VALUES(21, 2020, 7, 6, '평일', '0002', '인사맨', '인사부', '사원', '휴가', 0);
INSERT INTO COMMUTE VALUES(22, 2020, 7, 7, '평일', '0002', '인사맨', '인사부', '사원', '병가', 0);
